Site.Code,Site,Subsite,Subsite.Name,Ocean,Coast,Basin,Latitude,Longitude,Temperature.C,Salinity.ppt,Day.length.hours,Depth.Categorical,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,phosphate,salinity,silicate,sstmax,sstmean,sstmin,sstrange,precip
BB,BB.A,A,"Westside Park, Bodega Bay",Pacific,East.Pacific,East,38.319755,-123.055136,13,33,14.5,Intertidal,0.002933,14.79133352,7.664000193,2.384666681,12.40666644,0.641333342,0.546333313,0.455333332,0.340000004,0.260000005,0.176666667,6.211666743,3.673000018,57.04433314,35.31733449,8.20966657,0.754900018,0.754900018,33.45366669,7.597333431,14.38699977,12.19699987,10.81333319,3.573666732,91.58333333
BB,BB.B,B,"Sacramento Landing, Tomales Bay",Pacific,East.Pacific,East,38.1496437,-122.9063846,18.4,34,14.5,Intertidal,0.0020475,16.53700018,8.312499762,2.377999902,14.15899992,0.627000004,0.541500002,0.459999993,0.368000001,0.277999997,0.180999994,6.291000128,4.759000063,55.11100006,35.05600166,8.21449995,0.78945002,0.78945002,33.46650124,8.858000278,14.57499981,12.43100023,10.76099968,3.81400001,82.90740741
BC,BC.A,A,Tsawwassen,Pacific,East.Pacific,East,49,-123.1,24.5,26,14,Intertidal,0.0100335,20.66016682,11.33983334,3.666833321,16.99333342,0.88683335,0.681166669,0.47133333,0.438333328,0.339166666,0.229666665,6.657333295,7.589166641,51.61633301,33.05516752,7.890999953,1.249566654,1.249566654,25.96549956,39.64816666,16.5971667,10.95633348,5.703333283,10.89383348,87.2
BC,BC.B,B,White Rock,Pacific,East.Pacific,East,49,-122.8,22.5,26,14,Intertidal,0.004317,45.93475056,20.74549961,3.896999955,42.03774977,0.866249993,0.681250006,0.482500002,0.680250004,0.45025,0.241500005,6.412750125,7.803750038,52.80274963,33.29874992,7.879500031,1.120574981,1.120574981,27.12599945,37.77049923,17.04850006,10.66499996,4.176250022,12.87225008,92.09803922
CR,CR.A,A,Posedarje,Atlantic,East.Atlantic,East,44.21154996,15.4906946,17,25,14.85,Subtidal,0.000477,0.734000027,0.612999976,0.538999975,0.195000097,0.801999986,0.656000018,0.444000006,0.101999998,0.090000004,0.081,5.585999966,0.606000006,56.7519989,33.14300156,8.246999741,0.0348,0.0348,38.43399811,3.551000118,24.83699989,15.77700043,8.196000099,16.64100075,84.82083333
CR,CR.B,B,Sveti Duh,Atlantic,East.Atlantic,East,44.20557132,15.47773378,19,20,15.383,Subtidal,0.000477,0.734000027,0.612999976,0.538999975,0.195000097,0.801999986,0.656000018,0.444000006,0.101999998,0.090000004,0.081,5.585999966,0.606000006,56.7519989,33.14300156,8.246999741,0.0348,0.0348,38.43399811,3.551000118,24.83699989,15.77700043,8.196000099,16.64100075,84.74583333
ES,ES.A,A,South Bay,Atlantic,West.Atlantic,West,37.265686,-75.812668,28.05,35.42,14.683,Shallow.Subtidal,0.0193054,6.242000008,4.743600035,3.640600109,2.601400018,0.586000001,0.503400004,0.420600003,0.290600002,0.262200004,0.235599995,6.062800026,0.646999991,51.19980087,34.28500061,8.281800079,0.249199998,0.249199998,26.42399979,1.123800015,26.59400024,16.02020016,5.654800034,20.93919983,88.38461538
ES,ES.B,B,Cobb Bay,Atlantic,West.Atlantic,West,37.31855,-75.789076,27.7,35.64,14.683,Shallow.Subtidal,0.020602667,8.252166669,5.500666738,3.787500103,4.464666645,0.587166657,0.503000001,0.423333337,0.327833335,0.276666669,0.239999997,6.113666614,0.782666663,50.82833354,34.15233358,8.273166656,0.270133336,0.270133336,26.44916662,1.252333343,26.94833342,15.86333338,5.341833274,21.60649999,87.86111111
FI,FI.A,A,Fårö,Atlantic,East.Atlantic,East,59.92025,21.79618333,14,6.5,19,Subtidal,0.000417667,20.58650017,12.84300009,4.765000006,15.82150014,0.842333327,0.747166663,0.645666669,0.448666672,0.374166667,0.256500001,7.786499977,1.676833332,48.58300082,36.73499934,8.255833467,0.190100004,0.190100004,6.239333312,10.76000007,18.91733329,8.203666846,0.853666663,18.06366698,51.51190476
FI,FI.B,B,Ängsö,Atlantic,East.Atlantic,East,60.10785,21.70995,17,6.5,14.5,Subtidal,0.00101275,34.37387538,24.01600015,13.94200009,20.43187481,0.829249993,0.731250003,0.649499997,0.578624997,0.501874998,0.400375005,7.753749967,1.636500016,47.86474991,36.54762459,8.243875027,0.186100001,0.186100001,6.171875,11.00912499,18.20650029,7.988124967,0.705249999,17.50124955,52.11574074
